package_name,version,license_type,source_project
stack-data,0.6.3,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
starlette,0.50.0,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
streamlit,1.52.1,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
sympy,1.14.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tabulate2,1.10.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tenacity,9.1.2,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
threadpoolctl,3.6.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tokenizers,0.22.2,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
toml,0.10.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tomli_w,1.2.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tomlkit,0.13.3,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
torch,2.9.1,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tornado,6.5.2,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tqdm,4.67.1,MIT License; Mozilla Public License 2.0 (MPL 2.0),management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
traitlets,5.14.3,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
transformers,4.57.6,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tree-sitter,0.25.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tree-sitter-c-sharp,0.23.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tree-sitter-embedded-template,0.25.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tree-sitter-language-pack,0.13.0,MIT OR Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tree-sitter-yaml,0.7.2,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
trove-classifiers,2025.12.1.14,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
typer,0.9.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
typing-inspection,0.4.2,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
typing_extensions,4.15.0,PSF-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tzdata,2025.3,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
tzlocal,5.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ujson,5.9.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
urllib3,2.6.2,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
uvicorn,0.40.0,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
uvloop,0.22.1,Apache Software License; MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
virtualenv,20.35.4,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
watchdog,6.0.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
watchfiles,1.1.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
websocket-client,1.7.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
